 name,group,price,country,region,url,тип предложения,марка,модель,регистрация,состояние,автор объявления,год выпуска,руль,количество мест,тип кузова,количество дверей,пробег,об. двигателя (см³),мощность (л.с.),тип топлива,кпп,привод,цвет,
 ilsaia ,  Легковые автомобили  , 2 990 ,Молдова,  Кишинёв мун.,https://999.md/ru/81434434,продам,mercedes,e класс,другое,с пробегом,частное лицо,2006,левый,5,седан,5,275 765   км,3 200   см³,,дизель,автоматическая,задний,голубой,
 78104444 ,  Легковые автомобили  , 4 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81300766,продам,nissan,nv200,республика молдова,с пробегом,частное лицо,2013,левый,2,минивэн,4,245 000   км,1 500   см³,110,дизель,механическая,передний,,
 sasharussia788 ,  Легковые автомобили  , 20 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81121525,продам,mercedes,glk класс,республика молдова,с пробегом,частное лицо,2013,левый,5,кроссовер,,0   км,2 200   см³,170,дизель,автоматическая,4х4,белый,
 ilsaia ,  Легковые автомобили  , 1 470 ,Молдова,  Кишинёв мун.,https://999.md/ru/81297321,продам,ford,focus,другое,с пробегом,частное лицо,2006,левый,5,универсал,5,295 676   км,1 600   см³,,дизель,механическая,передний,голубой,
 interauto-albisoara27 ,  Легковые автомобили  , 11 899 ,Молдова,  Кишинёв мун.,https://999.md/ru/80782423,продам,dacia,logan mcv,республика молдова,с пробегом,автодилер,2019,левый,5,универсал,,110 265   км,1 500   см³,110,дизель,механическая,передний,синий,
 CZP005 ,  Легковые автомобили  , 22 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/80200881,меняю,cadillac,ats,республика молдова,с пробегом,частное лицо,2017,левый,4,купе,2,52 000   км,1 998   см³,280,бензин,автоматическая,передний,белый,
 InterautoParc ,  Легковые автомобили  , 23 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/79069695,продам,bmw,5 series,республика молдова,с пробегом,автодилер,2014,левый,5,кроссовер,5,330 362   км,1 995   см³,218,дизель,автоматическая,задний,черный,
 interauto ,  Легковые автомобили  , 49 899 ,Молдова,  Кишинёв мун.,https://999.md/ru/69543452,продам,bmw,5 series,республика молдова,новый,автодилер,2020,левый,5,седан,5,14 030   км,2 000   см³,190,дизель,автоматическая,задний,белый,
 artz530 ,  Легковые автомобили  , 7 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/77496520,продам,volvo,xc90,республика молдова,с пробегом,частное лицо,2005,левый,7,внедорожник,5,255 555   км,2 500   см³,,бензин,автоматическая,4х4,синий,
 lifestyle66 ,  Легковые автомобили  , 19 777 ,Молдова,  Кишинёв мун.,https://999.md/ru/80829494,продам,hyundai,tucson,республика молдова,с пробегом,частное лицо,2019,левый,5,кроссовер,5,23 440   mi,2 000   см³,2000,бензин,автоматическая,4х4,черный,
 deleted_1666100712 ,  Легковые автомобили  , 13 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81526741,продам,bmw,1 series,другое,с пробегом,частное лицо,2016,левый,5,хетчбэк,5,190 000   км,1 500   см³,116,дизель,автоматическая,задний,черный,
 interauto ,  Легковые автомобили  , 17 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/76814033,продам,lexus,ct series,республика молдова,с пробегом,автодилер,2015,левый,5,хетчбэк,5,185 601   км,1 798   см³,136,гибрид,вариатор,передний,синий,
 lifestyle66 ,  Легковые автомобили  , 16 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80882609,продам,toyota,avalon,республика молдова,с пробегом,частное лицо,2013,левый,5,седан,5,170 000   км,2 494   см³,2494,бензин,автоматическая,передний,черный,
 PowerShoes ,  Легковые автомобили  , 23 500 ,Молдова,  Бельцы мун.,https://999.md/ru/81563076,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2014,левый,5,седан,5,205 000   км,2 000   см³,,дизель,автоматическая,задний,черный,
 InterPiataAuto ,  Легковые автомобили  , 7 199 ,Молдова,  Кишинёв мун.,https://999.md/ru/80710755,продам,volkswagen,transporter,республика молдова,с пробегом,автодилер,1999,левый,6,микровэн,4,288 065   км,2 500   см³,102,дизель,механическая,передний,черный,
 VanzariAuto-Pruncul ,  Легковые автомобили  , 9 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/78283783,продам,toyota,avensis,республика молдова,с пробегом,автодилер,2009,левый,5,седан,5,240 828   км,1 800   см³,146,бензин,механическая,передний,серый,
 dudoglovictor ,  Легковые автомобили  , 2 200 ,Молдова,  Комрат,https://999.md/ru/81605160,продам,alfa romeo,147,республика молдова,с пробегом,частное лицо,2002,левый,5,хетчбэк,,21 800   км,1 600   см³,120,бензин,механическая,передний,серебряный,
 interauto5 ,  Легковые автомобили  , 35 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/78787564,продам,audi,a8,республика молдова,с пробегом,автодилер,2015,левый,5,седан,4,104 319   км,3 000   см³,310,бензин,автоматическая,4х4,белый,
 vasiok96 ,  Легковые автомобили  , 1 600 ,Молдова,  Оргеев,https://999.md/ru/81605154,продам,nissan,almera,республика молдова,с пробегом,частное лицо,1999,левый,5,хетчбэк,2,250 000   км,2 000   см³,140,бензин,механическая,передний,красный,
 interauto-9 ,  Легковые автомобили  , 14 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80774672,продам,toyota,verso,республика молдова,с пробегом,автодилер,2014,левый,5,универсал,5,95 000   км,1 600   см³,112,дизель,механическая,передний,бежевый,
 denpetrov168 ,  Легковые автомобили  , 19 700 ,Молдова,  Бельцы мун.,https://999.md/ru/81238238,продам,nissan,qashqai,республика молдова,с пробегом,частное лицо,2019,левый,5,кроссовер,,63 000   км,2 000   см³,147,бензин,вариатор,4х4,белый,
 paska7018 ,  Легковые автомобили  , 3 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81507282,продам,skoda,octavia,республика молдова,с пробегом,частное лицо,2005,левый,5,универсал,5,305 679   км,1 596   см³,,газ / бензин (пропан),механическая,передний,зелёный,
 denpetrov168 ,  Легковые автомобили  , 8 500 ,Молдова,  Бельцы мун.,https://999.md/ru/81562894,продам,renault,megane,республика молдова,с пробегом,частное лицо,2014,левый,5,универсал,5,175 000   км,1 500   см³,110,дизель,автоматическая,передний,черный,
 InterautoParc ,  Легковые автомобили  , 35 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81254904,продам,tesla,model 3,республика молдова,с пробегом,автодилер,2018,левый,5,седан,5,63 000   км,0   см³,287,электричество,автоматическая,задний,черный,
 Nicolae12345678 ,  Легковые автомобили  , договорная ,Молдова,  Сороки,https://999.md/ru/76311479,продам,opel,vivaro,республика молдова,с пробегом,частное лицо,2008,левый,9,минивэн,5,310 000   км,2 000   см³,,дизель,механическая,передний,зелёный,
 Vadimca111 ,  Легковые автомобили  , 19 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81432155,меняю,peugeot,5008,республика молдова,с пробегом,автодилер,2018,левый,7,внедорожник,5,186 000   км,1 500   см³,150,дизель,автоматическая,передний,серый,
 Vadimca111 ,  Легковые автомобили  , 31 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81576050,меняю,skoda,kodiaq,республика молдова,с пробегом,автодилер,2017,левый,7,внедорожник,5,160 000   км,2 000   см³,190,дизель,автоматическая,4х4,хамелеон,
 fw ,  Легковые автомобили  , 35 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/80829021,продам,toyota,rav 4,республика молдова,новый,частное лицо,2022,левый,5,кроссовер,5,650   км,2 487   см³,222,гибрид,автоматическая,передний,серый,
 interauto-9 ,  Легковые автомобили  , 35 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81459616,продам,volkswagen,tiguan,республика молдова,с пробегом,автодилер,2017,левый,5,кроссовер,5,93 500   км,2 000   см³,240,дизель,автоматическая,4х4,черный,
 -AUTOMARKET- ,  Легковые автомобили  , 10 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605141,продам,renault,megane,республика молдова,с пробегом,частное лицо,2017,левый,5,универсал,,168 500   км,1 500   см³,110,дизель,автоматическая,передний,,
 Jeka9111 ,  Легковые автомобили  , 15 900 ,Молдова,  Бельцы мун.,https://999.md/ru/81378756,продам,skoda,octavia,республика молдова,с пробегом,частное лицо,2017,левый,5,универсал,5,159 616   км,2 000   см³,150,дизель,механическая,передний,белый,
 068728063 ,  Легковые автомобили  , 34 950 ,Молдова,  Кишинёв мун.,https://999.md/ru/81101630,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2017,левый,5,седан,5,112 000   км,2 000   см³,,дизель,автоматическая,задний,черный,
 InterPiataAuto ,  Легковые автомобили  , 21 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/79822054,продам,volkswagen,passat,республика молдова,с пробегом,автодилер,2020,левый,5,универсал,5,98 672   км,2 000   см³,150,дизель,автоматическая,передний,серый,
 Cun222 ,  Легковые автомобили  , 27 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81590519,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2017,левый,5,седан,5,112 000   км,2 000   см³,190,дизель,автоматическая,4х4,синий,
 Cun222 ,  Легковые автомобили  , 16 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81220948,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2012,левый,5,седан,5,232 000   км,2 000   см³,250,бензин,автоматическая,задний,черный,
 danutimbaliuc7 ,  Легковые автомобили  , 1 750 ,Молдова,  Сороки,https://999.md/ru/81605136,продам,volkswagen,golf,республика молдова,с пробегом,частное лицо,1994,левый,5,хетчбэк,5,245 484   км,1 800   см³,95,бензин,механическая,передний,тёмно-зелёный,
 interauto ,  Легковые автомобили  , 31 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/72542840,продам,bmw,5 series,республика молдова,с пробегом,автодилер,2017,левый,5,седан,5,43 000   км,2 000   см³,248,бензин,автоматическая,задний,коричневый,
 JETSKY77 ,  Легковые автомобили  , 4 200 ,Молдова,  Кишинёв мун.,https://999.md/ru/81591897,продам,renault,megane,республика молдова,с пробегом,частное лицо,2006,левый,5,универсал,4,215 000   км,1 500   см³,106,дизель,механическая,передний,,
 sandagraur ,  Легковые автомобили  , 7 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81215344,продам,volkswagen,tiguan,республика молдова,с пробегом,частное лицо,2010,левый,5,внедорожник,,237 000   км,2 000   см³,,бензин,автоматическая,4х4,черный,
 kirill06 ,  Легковые автомобили  , 13 850 ,Молдова,  Бельцы мун.,https://999.md/ru/81605132,продам,renault,grand scenic,республика молдова,с пробегом,частное лицо,2017,левый,5,минивэн,5,190 000   км,1 500   см³,110,дизель,механическая,передний,черный,
 vv1 ,  Легковые автомобили  , 21 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605128,продам,mercedes,c класс,республика молдова,с пробегом,частное лицо,2015,левый,5,седан,4,125 000   км,1 600   см³,140,дизель,автоматическая,задний,синий,
 saneasanea12345 ,  Легковые автомобили  , 1 300 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605127,продам,peugeot,206,республика молдова,с пробегом,частное лицо,2003,левый,4,купе,,280 000   км,14   см³,,дизель,механическая,передний,голубой,
 TopAuto ,  Легковые автомобили  , 10 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80761823,продам,renault,megane,республика молдова,с пробегом,автодилер,2017,левый,5,седан,4,196 000   км,1 500   см³,110,дизель,механическая,передний,черный,
 TopAuto ,  Легковые автомобили  , 12 450 ,Молдова,  Кишинёв мун.,https://999.md/ru/80945856,продам,opel,astra,республика молдова,с пробегом,автодилер,2020,левый,5,хетчбэк,4,6 000   км,1 200   см³,110,бензин,механическая,передний,синий,
 TopAuto ,  Легковые автомобили  , 5 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/80354225,продам,skoda,fabia,республика молдова,с пробегом,автодилер,2014,левый,5,хетчбэк,4,195 000   км,1 200   см³,,бензин,механическая,передний,серый,
 InterautoParc ,  Легковые автомобили  , 10 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/78944764,продам,volkswagen,transporter,республика молдова,с пробегом,автодилер,2010,левый,6,микровэн,5,301 721   км,1 968   см³,140,дизель,механическая,передний,серебряный,
 TopAuto ,  Легковые автомобили  , 6 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/80429995,продам,dacia,sandero,республика молдова,с пробегом,автодилер,2012,левый,5,хетчбэк,4,169 000   км,1 500   см³,,дизель,механическая,передний,черный,
 TopAuto ,  Легковые автомобили  , 5 350 ,Молдова,  Кишинёв мун.,https://999.md/ru/81442983,продам,volkswagen,transporter,республика молдова,с пробегом,автодилер,2003,левый,6,универсал,4,396 000   км,2 500   см³,,дизель,механическая,передний,белый,
 TopAuto ,  Легковые автомобили  , 7 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80762098,продам,honda,cr-v,республика молдова,с пробегом,автодилер,2005,левый,5,внедорожник,4,250 000   км,2 200   см³,,дизель,механическая,4х4,серебряный,
 TopAuto ,  Легковые автомобили  , 6 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/80503116,продам,skoda,octavia,республика молдова,с пробегом,автодилер,2012,левый,5,универсал,4,215 000   км,1 200   см³,105,бензин,механическая,передний,зелёный,
 TopAuto ,  Легковые автомобили  , 10 350 ,Молдова,  Кишинёв мун.,https://999.md/ru/80773664,продам,toyota,auris,республика молдова,с пробегом,автодилер,2014,левый,5,универсал,4,149 000   км,1 400   см³,,дизель,механическая,передний,белый,
 Maxvi123 ,  Легковые автомобили  , 11 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81366359,продам,skoda,superb,республика молдова,с пробегом,автодилер,2014,левый,5,седан,5,1   км,18   см³,,бензин,автоматическая,передний,черный,
 interautode ,  Легковые автомобили  , 10 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/79980011,продам,nissan,qashqai+2,республика молдова,с пробегом,автодилер,2011,левый,5,кроссовер,5,255 471   км,1 500   см³,110,дизель,механическая,передний,серый,
 steopan ,  Легковые автомобили  , 17 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/79139837,продам,volkswagen,passat,республика молдова,с пробегом,частное лицо,2015,левый,5,седан,5,178 000   км,1 400   см³,218,плагин-гибрид,автоматическая,передний,серебряный,
 Major01 ,  Легковые автомобили  , 3 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81340839,продам,dacia,logan mcv,республика молдова,с пробегом,частное лицо,2010,левый,5,универсал,5,243 000   км,1 500   см³,85,дизель,механическая,передний,синий,
 Major01 ,  Легковые автомобили  , 5 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81597390,продам,toyota,camry,республика молдова,с пробегом,частное лицо,2007,левый,5,седан,5,161 000   км,2 400   см³,170,газ / бензин (пропан),автоматическая,передний,черный,
 wkwntgrgz5 ,  Легковые автомобили  , 2 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605123,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,1996,левый,5,седан,,280 000   км,1 999   см³,,бензин,механическая,задний,,
 TopAuto ,  Легковые автомобили  , 6 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/79256347,продам,dacia,dokker,республика молдова,с пробегом,автодилер,2013,левый,5,минивэн,4,185 000   км,1 500   см³,90,дизель,механическая,передний,белый,
 TopAuto ,  Легковые автомобили  , 5 350 ,Молдова,  Кишинёв мун.,https://999.md/ru/78970885,продам,dacia,logan,республика молдова,с пробегом,автодилер,2013,левый,5,седан,4,303 000   км,1 500   см³,,дизель,механическая,передний,бежевый,
 TopAuto ,  Легковые автомобили  , 8 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81393848,продам,dacia,lodgy,республика молдова,с пробегом,автодилер,2017,левый,7,минивэн,4,241 000   км,1 500   см³,110,дизель,механическая,передний,серый,
 Major01 ,  Легковые автомобили  , 3 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81340839,продам,dacia,logan mcv,республика молдова,с пробегом,частное лицо,2010,левый,5,универсал,5,243 000   км,1 500   см³,85,дизель,механическая,передний,синий,
 Major01 ,  Легковые автомобили  , 5 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81597390,продам,toyota,camry,республика молдова,с пробегом,частное лицо,2007,левый,5,седан,5,161 000   км,2 400   см³,170,газ / бензин (пропан),автоматическая,передний,черный,
 wkwntgrgz5 ,  Легковые автомобили  , 2 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605123,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,1996,левый,5,седан,,280 000   км,1 999   см³,,бензин,механическая,задний,,
 TopAuto ,  Легковые автомобили  , 6 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/79256347,продам,dacia,dokker,республика молдова,с пробегом,автодилер,2013,левый,5,минивэн,4,185 000   км,1 500   см³,90,дизель,механическая,передний,белый,
 TopAuto ,  Легковые автомобили  , 5 350 ,Молдова,  Кишинёв мун.,https://999.md/ru/78970885,продам,dacia,logan,республика молдова,с пробегом,автодилер,2013,левый,5,седан,4,303 000   км,1 500   см³,,дизель,механическая,передний,бежевый,
 TopAuto ,  Легковые автомобили  , 8 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81393848,продам,dacia,lodgy,республика молдова,с пробегом,автодилер,2017,левый,7,минивэн,4,241 000   км,1 500   см³,110,дизель,механическая,передний,серый,
 interauto-albisoara27 ,  Легковые автомобили  , 13 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81462556,продам,skoda,octavia,республика молдова,с пробегом,автодилер,2018,левый,5,универсал,5,172 000   км,1 600   см³,116,дизель,автоматическая,передний,черный,
 TopAuto ,  Легковые автомобили  , 41 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81394293,продам,mercedes,e-class coupe,республика молдова,с пробегом,автодилер,2018,левый,5,купе,2,54 000   км,2 000   см³,,бензин,автоматическая,задний,белый,
 TopAuto ,  Легковые автомобили  , 33 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/80228991,продам,volvo,xc90,республика молдова,с пробегом,автодилер,2017,левый,5,внедорожник,4,220 000   км,2 000   см³,235,дизель,автоматическая,4х4,серебряный,
 TopAuto ,  Легковые автомобили  , 2 850 ,Молдова,  Кишинёв мун.,https://999.md/ru/79699490,продам,hyundai,matrix,республика молдова,с пробегом,автодилер,2004,левый,5,хетчбэк,4,360 000   км,1 500   см³,,дизель,механическая,передний,зелёный,
 antonel53 ,  Легковые автомобили  , 6 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605121,продам,toyota,auris,республика молдова,с пробегом,частное лицо,2007,левый,5,хетчбэк,5,183 000   км,1 400   см³,,дизель,роботизированная,передний,черный,
 ROST1 ,  Легковые автомобили  , 104 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/77696894,продам,porsche,другое,республика молдова,с пробегом,автодилер,2020,левый,5,кроссовер,5,16 000   км,0   см³,,электричество,автоматическая,4х4,голубой,
 vdbmw ,  Легковые автомобили  , 4 200 ,Молдова,  Кишинёв мун.,https://999.md/ru/81224252,продам,bmw,5 series,другое,с пробегом,частное лицо,2006,левый,4,седан,5,370   км,2 500   см³,177,дизель,автоматическая,задний,серый,
 interauto ,  Легковые автомобили  , 52 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81488878,продам,toyota,land cruiser,республика молдова,с пробегом,автодилер,2013,левый,7,кроссовер,5,117 898   км,4 500   см³,272,дизель,автоматическая,4х4,черный,
 veaceslav79 ,  Легковые автомобили  , 15 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81547936,продам,mercedes,c класс,республика молдова,с пробегом,частное лицо,2017,левый,5,универсал,,229 000   км,1 800   см³,160,бензин,автоматическая,задний,серебряный,
 danutu2011 ,  Легковые автомобили  , 5 200 ,Молдова,  Калараш,https://999.md/ru/80987390,продам,mitsubishi,colt,республика молдова,с пробегом,частное лицо,2013,левый,5,хетчбэк,5,179 000   mi,1 400   см³,90,бензин,механическая,передний,белый,
 interauto-albisoara27 ,  Легковые автомобили  , 28 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81367708,продам,volvo,xc60,республика молдова,с пробегом,автодилер,2018,левый,5,кроссовер,5,184 178   км,2 000   см³,190,дизель,автоматическая,4х4,черный,
 manopera777 ,  Легковые автомобили  , 13 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81573163,продам,ford,focus,республика молдова,с пробегом,частное лицо,2019,левый,5,универсал,,116 147   км,1 500   см³,120,дизель,механическая,передний,,
 manopera777 ,  Легковые автомобили  , 15 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81424167,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2012,левый,5,седан,,151   км,2 000   см³,245,бензин,механическая,задний,,
 Perhaps ,  Легковые автомобили  , 11 500 ,Молдова,  Бельцы мун.,https://999.md/ru/80068761,продам,audi,a8,республика молдова,с пробегом,частное лицо,2005,левый,5,седан,,257 560   км,3 000   см³,233,дизель,автоматическая,4х4,серый,
 InterPiataAuto ,  Легковые автомобили  , 19 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/74567528,продам,hyundai,tucson,республика молдова,с пробегом,автодилер,2016,левый,5,кроссовер,5,62 028   км,1 600   см³,167,бензин,автоматическая,4х4,бежевый,
 interauto-albisoara27 ,  Легковые автомобили  , 11 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81112451,продам,volkswagen,jetta,республика молдова,с пробегом,автодилер,2013,левый,5,седан,4,232 246   км,1 400   см³,170,гибрид,автоматическая,передний,черный,
 ursullys ,  Легковые автомобили  , 18 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605106,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2013,левый,5,седан,5,242 000   км,2 000   см³,218,дизель,автоматическая,задний,черный,
